__yearly__,ea_nf,at_nf_to_nw,at_nf,be_nf_to_nw,be_nf,cy_nf_to_nw,cy_nf,ee_nf_to_nw,ee_nf,fi_nf_to_nw,fi_nf,fr_nf_to_nw,fr_nf,de_nf_to_nw,de_nf,gr_nf_to_nw,gr_nf,ie_nf_to_nw,ie_nf,it_nf_to_nw,it_nf,lv_nf_to_nw,lv_nf,lt_nf_to_nw,lt_nf,lu_nf_to_nw,lu_nf,mt_nf_to_nw,mt_nf,nl_nf_to_nw,nl_nf,pt_nf_to_nw,pt_nf,sk_nf_to_nw,sk_nf,si_nf_to_nw,si_nf,es_nf_to_nw,es_nf,hr_nf_to_nw,hr_nf,ea_nf_to_nw,cn_nf_to_nw,cn_nf,us_nf_to_nw,us_nf,,__eof__
2000Y,147161.50001682,0.71427,3864.41069538,0.65282,4395.05026415,0.67444,433.62377916,0.69806,657.04722985,0.74053,2565.456216295,0.69054,26384.55041631,0.7074,39205.8407763,0.63819,4812.0291828,0.71585,1810.516008475,0.60359,23180.77677201,0.67318,1082.776371,0.71035,1694.909307,0.64168,187.57974768,0.58073,156.928054615,0.75736,8166.1243828,0.71136,4936.31661744,0.6917,2566.7437592,0.67327,936.245559015,0.65153,18208.444754005,0.62743,1916.130123335,0.676052676144399,0.82051,710957.70294629,0.7578,141790.9834692,,__eof__
2001Y,147348.22361596,0.70849,3858.605514865,0.63654,4302.24177795,0.69212,455.8094684,0.69016,647.27621824,0.74591,2589.616399095,0.68909,26467.398039815,0.71114,39247.25053256,0.63188,4770.88072054,0.71437,1846.04780794,0.60777,23269.80485853,0.68067,1083.452048145,0.69968,1654.82051464,0.64597,191.60309961,0.58793,160.4990107,0.76452,8276.3533086,0.71873,5015.45031076,0.69802,2611.96536227,0.68268,949.28838576,0.64394,18065.24794954,0.624,1884.612288,0.676435394232999,0.81601,717603.072087525,0.75354,142873.41108747,,__eof__
2002Y,148999.01864484,0.71719,3937.097340445,0.64119,4353.388679145,0.69369,467.45965506,0.68125,636.27864375,0.74768,2600.67179296,0.6924,26747.6321832,0.71244,39153.1839246,0.63752,4811.44408628,0.71464,1887.28670156,0.61587,23536.412175555,0.69842,1099.592448,0.69611,1630.33973992,0.65842,197.27283751,0.58727,161.95614606,0.77213,8392.28946343,0.72699,5090.845255155,0.69377,2615.89794235,0.67876,945.78452338,0.66473,18872.61266308,0.62058,1861.5724434,0.682619807276192,0.81122,725225.32554239,0.74928,143833.49491056,,__eof__
2003Y,151032.020137545,0.71992,3982.03626236,0.6428,4385.3995092,0.70623,487.00561455,0.70024,651.42486912,0.7464,2600.1321696,0.7018,27276.1349388,0.71772,39263.87238396,0.64395,4851.9713529,0.7169,1930.2001994,0.62417,23905.23538246,0.69347,1078.61491636,0.72049,1669.201331665,0.651,197.648808,0.58573,163.1316623,0.7727,8428.38790335,0.72931,5116.39189297,0.69734,2647.37529994,0.6712,939.8759904,0.67799,19633.97681905,0.61137,1824.00283116,0.68941623290469,0.80619,732558.170932665,0.74324,144379.28541774,,__eof__
2004Y,152167.590089765,0.70951,3945.703952925,0.65287,4478.28668495,0.70686,499.25627829,0.70094,649.54147168,0.74396,2595.49119396,0.70066,27404.0247418,0.71693,39007.231800255,0.65581,4928.178353735,0.72034,1980.12029546,0.63163,24292.289257475,0.69347,1064.58393785,0.69154,1583.08823611,0.66132,203.92033662,0.56998,160.24275225,0.77364,8465.06598588,0.72745,5104.391164875,0.69639,2659.65338439,0.69701,980.67564475,0.68751,20316.32681841,0.62276,1849.5177981,0.691969332434671,0.80091,739430.87415219,0.73988,145454.15083484,,__eof__
2005Y,154057.666030675,0.71731,4000.65880148,0.66708,4607.2030293,0.70957,513.577896375,0.70046,646.03110593,0.74568,2609.34422892,0.697,27446.306387,0.74108,40086.06138172,0.65855,4929.27638475,0.74253,2094.73430481,0.62796,24182.33896152,0.69815,1057.74961125,0.68463,1547.683135875,0.66851,209.620335385,0.57545,163.163093,0.7572,8312.1111318,0.73333,5145.68714374,0.69014,2649.07650975,0.70412,994.44522282,0.70024,21066.60416016,0.60718,1795.99320509,0.698438226261349,0.79544,746561.83151584,0.73972,147182.39982212,,__eof__
2006Y,155719.28632402,0.72682,4060.49840166,0.66467,4630.920395825,0.71494,530.27493017,0.72571,664.310216885,0.75063,2632.65007002,0.69645,27629.12772585,0.75335,40535.153518925,0.66252,4939.13397018,0.74859,2182.414956825,0.6296,24243.7991172,0.71701,1071.801246705,0.67292,1500.9430131,0.67017,214.04291562,0.57709,164.85210649,0.75957,8368.706413515,0.73746,5179.25311362,0.68752,2650.63745096,0.70678,1001.39346842,0.71094,21739.35010986,0.60386,1780.02318219,0.703839247459601,0.79011,751756.882150935,0.74067,149103.904031985,,__eof__
2007Y,157329.976910165,0.73776,4129.97052024,0.66976,4709.41442608,0.72403,550.018439875,0.72969,663.064560015,0.7542,2653.8985692,0.69719,27846.732465175,0.75881,40709.225060725,0.66077,4909.680015185,0.75472,2271.58984104,0.62667,24226.80714531,0.73247,1080.006872075,0.67708,1489.3085534,0.67172,218.47222796,0.58665,168.58619715,0.77247,8542.04200983,0.74009,5205.410063425,0.68497,2650.378737435,0.71184,1010.7629712,0.71773,22368.546736185,0.65564,1926.06149866,0.707809174151501,0.78483,754226.533225425,0.73797,150195.53538423,,__eof__
2008Y,158952.19126659,0.74216,4167.84290848,0.67078,4752.26601047,0.72133,560.68331703,0.74072,670.2330848,0.75825,2681.802864,0.69919,28064.93913423,0.76151,40811.234193875,0.66154,4894.93259123,0.74754,2289.82266576,0.63161,24575.97415406,0.74834,1088.16605821,0.68291,1481.092817815,0.67322,223.64738671,0.59029,169.98640159,0.78345,8688.246226425,0.74077,5212.3466203,0.69058,2679.86751032,0.71705,1019.618210625,0.72738,22994.52719256,0.65742,1924.9619181,0.712035510146274,0.7794,755503.4837664,0.73777,151543.048981885,,__eof__
2009Y,159438.07280819,0.74642,4201.59743358,0.66904,4767.972101,0.7182,570.4845741,0.7393,666.30410555,0.74826,2654.69703102,0.70379,28351.46087662,0.76521,40973.65612356,0.6675,4910.60793,0.72961,2240.500615395,0.62504,24419.5346252,0.74209,1063.78378873,0.69501,1486.2302343,0.69298,235.27606523,0.59425,171.144297125,0.78605,8735.9411781,0.73582,5172.35140131,0.68708,2670.32233486,0.71534,1019.3809602,0.73111,23208.26591347,0.65667,1918.56121884,0.712908601728505,0.77395,755934.5847457,0.73108,151425.35586696,,__eof__
2010Y,159685.471159475,0.74676,4217.84871186,0.67656,4847.64779496,0.72417,587.01002949,0.73765,661.23904945,0.74383,2640.26400799,0.70378,28440.32901094,0.76539,41049.71870919,0.6721,4907.97294845,0.71582,2187.84692231,0.62224,24384.03528904,0.73483,1038.071928685,0.70174,1479.00231141,0.6875,238.46315625,0.60589,174.91983711,0.78384,8732.44124136,0.7377,5173.54063245,0.68993,2681.46193003,0.71338,1020.68769626,0.73551,23320.16390814,0.65195,1902.8060441,0.713164523660415,0.7686,755703.5526117,0.72427,151241.37189496,,__eof__
